concurso,data,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5,dezena_6,ganhadores_6_acertos,valor_premio,local
201,08/01/2000,5,20,22,30,35,55,1,1038373.94,"Caminhão da Sorte em BELO HORIZONTE, MG"
202,15/01/2000,12,24,44,45,49,53,0,0.0,"Caminhão da Sorte em VITÓRIA, ES"
203,22/01/2000,11,19,29,44,47,55,0,0.0,"Caminhão da Sorte em GUARAPARI, ES"
204,29/01/2000,29,31,39,41,51,58,0,0.0,"Caminhão da Sorte em GUARUJÁ, SP"
205,05/02/2000,26,32,40,43,46,54,1,4490339.49,"Auditório em BRASÍLIA, DF"
206,12/02/2000,18,20,26,34,51,56,0,0.0,"Caminhão da Sorte em CURITIBA, PR"
207,19/02/2000,3,7,19,24,53,55,0,0.0,"Caminhão da Sorte em FLORIANÓPOLIS, SC"
208,26/02/2000,15,23,24,25,47,57,0,0.0,"Caminhão da Sorte em CAXIAS DO SUL, RS"
209,04/03/2000,13,21,26,32,41,52,0,0.0,"Caminhão da Sorte em BALNEÁRIO CAMBORIÚ, SC"
210,11/03/2000,20,32,37,38,48,58,0,0.0,"Caminhão da Sorte em BRASÍLIA, DF"
211,18/03/2000,10,20,33,40,45,50,0,0.0,"Caminhão da Sorte em PALMAS, TO"
212,25/03/2000,6,15,29,45,57,59,0,0.0,"Caminhão da Sorte em PORTO VELHO, RO"
213,01/04/2000,3,9,23,30,32,35,3,7089194.54,"Caminhão da Sorte em CAMPO GRANDE, MS"
214,08/04/2000,6,12,30,31,35,50,0,0.0,"Caminhão da Sorte em SANTA ROSA, RS"
215,15/04/2000,7,28,37,46,53,58,0,0.0,"Caminhão da Sorte em LONDRINA, PR"
216,22/04/2000,14,18,30,35,42,59,4,801057.55,"Caminhão da Sorte em PORTO SEGURO, BA"
217,29/04/2000,3,27,32,45,49,51,0,0.0,"Caminhão da Sorte em XANXERÊ, SC"
218,06/05/2000,12,17,40,42,47,54,1,1878255.09,"Caminhão da Sorte em SARANDI, RS"
219,13/05/2000,23,26,28,36,42,49,0,0.0,"Caminhão da Sorte em OSASCO, SP"
220,20/05/2000,13,14,36,53,55,60,1,12636751.12,"Caminhão da Sorte em FRANCA, SP"
221,27/05/2000,13,27,43,50,54,58,0,0.0,"Caminhão da Sorte em JUIZ DE FORA, MG"
222,03/06/2000,5,19,30,48,52,55,0,0.0,"Caminhão da Sorte em OURINHOS, SP"
223,10/06/2000,2,6,22,24,28,58,0,0.0, em 
