concurso,data,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5,dezena_6,ganhadores_6_acertos,premio_6_acertos,acumulado,local
2240,07/03/2020,07,09,10,19,25,58,2,27894020.38,False," em SÃO PAULO, SP"
2241,10/03/2020,01,13,18,26,40,56,0,0.0,False," em SÃO PAULO, SP"
2242,12/03/2020,05,09,18,24,25,42,0,0.0,False," em SÃO PAULO, SP"
2243,14/03/2020,14,18,28,35,38,54,0,0.0,False," em SÃO PAULO, SP"
2244,18/03/2020,03,05,11,34,37,42,1,12147334.8,False," em SÃO PAULO, SP"
2245,21/03/2020,11,14,15,18,33,34,1,15186785.88,False," em SÃO PAULO, SP"
2246,25/03/2020,05,09,24,27,33,46,0,0.0,False," em SÃO PAULO, SP"
2247,28/03/2020,01,42,44,47,48,53,0,0.0,False," em SÃO PAULO, SP"
2248,01/04/2020,09,15,20,29,30,42,1,4906932.9,False," em SÃO PAULO, SP"
2249,04/04/2020,04,09,31,47,49,53,0,0.0,False," em SÃO PAULO, SP"
2250,08/04/2020,27,33,39,52,57,58,0,0.0,False," em SÃO PAULO, SP"
2251,11/04/2020,05,15,22,26,54,58,0,0.0,False," em SÃO PAULO, SP"
2252,15/04/2020,01,17,30,37,46,50,0,0.0,False," em SÃO PAULO, SP"
2253,18/04/2020,31,32,33,39,52,55,0,0.0,False," em SÃO PAULO, SP"
2254,22/04/2020,04,09,24,44,47,56,0,0.0,False," em SÃO PAULO, SP"
2255,25/04/2020,15,20,39,41,49,57,0,0.0,False," em SÃO PAULO, SP"
2256,29/04/2020,09,10,30,37,47,54,0,0.0,False," em SÃO PAULO, SP"
2257,02/05/2020,18,21,30,31,34,51,0,0.0,False," em SÃO PAULO, SP"
2258,05/05/2020,01,05,07,14,23,26,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2259,07/05/2020,20,27,41,54,56,58,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2260,09/05/2020,12,14,34,35,37,47,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2261,13/05/2020,07,23,26,27,29,51,0,0.0,False,"ESPAÇO LOTERIAS em SÃO PAULO, SP"
2262,16/05/2020,07,08,14,23,30,46,1,101195308.3,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2263,20/05/2020,09,24,33,43,49,57,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2264,23/05/2020,02,03,08,19,29,37,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2265,27/05/2020,14,20,23,39,46,50,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2266,30/05/2020,10,23,31,37,58,59,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2267,03/06/2020,20,32,33,48,49,53,1,45553191.42,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2268,06/06/2020,04,13,23,28,30,52,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2269,10/06/2020,01,11,14,23,29,55,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2270,13/06/2020,14,16,38,39,41,48,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2271,17/06/2020,06,10,27,28,41,52,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2272,20/06/2020,02,05,11,24,41,49,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2273,24/06/2020,15,16,20,38,40,58,1,43269740.25,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2274,27/06/2020,08,11,17,33,40,55,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2275,01/07/2020,02,04,25,36,50,53,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2276,04/07/2020,05,15,18,27,49,57,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2277,08/07/2020,10,22,23,37,53,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2278,11/07/2020,08,17,34,37,43,45,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2279,14/07/2020,05,12,14,20,27,28,1,43234926.1,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2280,16/07/2020,28,29,31,50,58,59,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2281,18/07/2020,14,27,35,40,50,55,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2282,22/07/2020,12,27,30,36,45,52,1,28456665.08,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2283,25/07/2020,04,24,37,43,59,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2284,29/07/2020,04,10,12,14,36,46,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2285,01/08/2020,01,07,10,12,33,42,2,11323343.69,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2286,05/08/2020,09,21,30,41,42,43,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2287,08/08/2020,02,04,06,29,41,56,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2288,11/08/2020,02,26,35,39,40,56,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2289,13/08/2020,06,09,34,37,38,45,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2290,15/08/2020,05,18,36,44,57,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2291,19/08/2020,12,26,31,36,37,49,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2292,22/08/2020,06,16,18,33,42,57,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2293,26/08/2020,01,02,10,37,42,48,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2294,29/08/2020,09,15,20,33,41,43,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2295,02/09/2020,06,13,26,28,35,41,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2296,05/09/2020,01,06,21,29,36,59,2,47160446.98,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2297,09/09/2020,20,22,35,40,41,59,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2298,12/09/2020,13,17,21,31,41,49,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2299,15/09/2020,02,03,19,40,44,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2300,17/09/2020,09,21,37,39,43,54,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2301,19/09/2020,17,18,35,36,47,52,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2302,23/09/2020,18,22,25,27,43,44,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
